epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,11099.1,1.49673,1.25446,0.02513,0.91995,0.77778,0.90061,0.44566,1.72507,0.80048,0.03558,0.0014654,0.0014654,0.0014654
83,11228.8,1.47896,1.20937,0.02454,0.80882,0.85471,0.87521,0.48169,1.63174,0.86702,0.03551,0.0014588,0.0014588,0.0014588
84,11358.5,1.49459,1.23113,0.02503,0.73996,0.89106,0.8691,0.43774,1.79953,0.76239,0.03702,0.0014522,0.0014522,0.0014522
85,11489.8,1.46439,1.26282,0.02586,0.86644,0.84848,0.90042,0.44371,1.78182,0.76685,0.03858,0.0014456,0.0014456,0.0014456
86,11621.7,1.48328,1.16047,0.02432,0.87623,0.85812,0.89708,0.48446,1.65342,0.79021,0.03261,0.001439,0.001439,0.001439
87,11751.7,1.49192,1.23258,0.02561,0.82194,0.83928,0.84964,0.42201,1.70705,0.91897,0.03592,0.0014324,0.0014324,0.0014324
88,11881.9,1.48225,1.22411,0.02537,0.80352,0.76768,0.85768,0.45706,1.62586,0.95256,0.03444,0.0014258,0.0014258,0.0014258
89,12014.4,1.49054,1.19507,0.02502,0.83031,0.84022,0.89331,0.50826,1.59853,0.73689,0.03206,0.0014192,0.0014192,0.0014192
90,12156.8,1.45486,1.22735,0.02481,0.88782,0.85859,0.90989,0.49391,1.57358,0.70418,0.03162,0.0014126,0.0014126,0.0014126
91,12300.6,1.48828,1.24288,0.0232,0.86666,0.85353,0.91293,0.49835,1.52765,0.7561,0.03037,0.001406,0.001406,0.001406
92,12443.2,1.45396,1.22368,0.0234,0.85527,0.82828,0.89735,0.52814,1.54313,0.80598,0.03058,0.0013994,0.0013994,0.0013994
93,12585.8,1.40136,1.13649,0.02248,0.86711,0.84848,0.89675,0.55899,1.42433,0.78917,0.02802,0.0013928,0.0013928,0.0013928
94,12730.4,1.47455,1.20299,0.02478,0.87888,0.8063,0.86714,0.47674,1.61713,0.82578,0.0313,0.0013862,0.0013862,0.0013862
95,12875,1.45712,1.18738,0.02308,0.82957,0.85859,0.89165,0.47293,1.62721,0.84513,0.03194,0.0013796,0.0013796,0.0013796
96,13016.6,1.45459,1.21084,0.02513,0.83075,0.7933,0.86786,0.46371,1.64253,1.00593,0.03304,0.001373,0.001373,0.001373
97,13154.6,1.42927,1.19747,0.02325,0.92429,0.82828,0.91994,0.52564,1.5053,0.80476,0.03013,0.0013664,0.0013664,0.0013664
98,13286.6,1.43323,1.15663,0.02366,0.86659,0.88889,0.92399,0.53115,1.56874,0.71548,0.03073,0.0013598,0.0013598,0.0013598
99,13419.7,1.4854,1.17314,0.02489,0.87278,0.83838,0.92762,0.47635,1.63064,0.70166,0.03334,0.0013532,0.0013532,0.0013532
100,13555,1.43812,1.23579,0.02272,0.83671,0.81818,0.88296,0.46198,1.71508,0.80981,0.03976,0.0013466,0.0013466,0.0013466
101,13691.4,1.46225,1.17282,0.02421,0.88379,0.84504,0.90398,0.48668,1.66566,0.78076,0.03497,0.00134,0.00134,0.00134
102,13825,1.46059,1.20256,0.02415,0.88858,0.88612,0.94499,0.54223,1.48872,0.63121,0.02929,0.0013334,0.0013334,0.0013334
103,13956.4,1.40547,1.15893,0.02282,0.91913,0.85859,0.94169,0.50116,1.63538,0.67987,0.0309,0.0013268,0.0013268,0.0013268
104,14086.4,1.43075,1.18688,0.02413,0.91134,0.86869,0.95165,0.54995,1.53349,0.72776,0.03039,0.0013202,0.0013202,0.0013202
105,14216.9,1.41861,1.20665,0.0231,0.91433,0.83838,0.93004,0.51427,1.49393,0.72411,0.02992,0.0013136,0.0013136,0.0013136
106,14346.3,1.42919,1.16894,0.0239,0.9279,0.78002,0.91948,0.52955,1.46157,0.84288,0.02941,0.001307,0.001307,0.001307
107,14475.3,1.39616,1.16847,0.02325,0.91325,0.85074,0.93664,0.52684,1.50305,0.81241,0.03008,0.0013004,0.0013004,0.0013004
108,14607.9,1.41086,1.16577,0.02346,0.88247,0.83428,0.88041,0.49472,1.57519,0.85494,0.03221,0.0012938,0.0012938,0.0012938
