epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,20400.8,0.7044,0.69783,1.16118,0.78932,0.7853,0.82471,0.61334,0.89629,1.1815,1.25575,0.00096125,0.00096125,0.00096125
72,20688.3,0.71431,0.68896,1.17277,0.72022,0.71622,0.75461,0.57768,0.8555,1.1099,1.18854,0.000957125,0.000957125,0.000957125
73,20976.3,0.70938,0.70267,1.17372,0.76692,0.79575,0.83175,0.63551,0.86049,0.89083,1.18995,0.000953,0.000953,0.000953
74,21262.9,0.70609,0.68297,1.17684,0.75507,0.75334,0.80885,0.61987,0.87075,1.36026,1.17018,0.000948875,0.000948875,0.000948875
75,21551.2,0.69854,0.70208,1.1715,0.69133,0.74565,0.77545,0.57849,0.90301,1.19023,1.20484,0.00094475,0.00094475,0.00094475
76,21839.5,0.69377,0.70146,1.15574,0.75161,0.77689,0.81742,0.62443,0.85768,1.16087,1.18891,0.000940625,0.000940625,0.000940625
77,22127.1,0.67355,0.68666,1.13593,0.75573,0.70523,0.78559,0.59595,0.8608,1.23843,1.21545,0.0009365,0.0009365,0.0009365
78,22414.3,0.69212,0.67011,1.14429,0.7182,0.82679,0.8293,0.63818,0.87321,0.98287,1.21103,0.000932375,0.000932375,0.000932375
79,22702,0.68877,0.67076,1.14863,0.7731,0.7589,0.83747,0.64377,0.86404,0.91968,1.18779,0.00092825,0.00092825,0.00092825
80,22989.5,0.69187,0.65865,1.15301,0.78433,0.77659,0.78108,0.60315,0.88502,1.17149,1.18155,0.000924125,0.000924125,0.000924125
81,23274.4,0.6716,0.63846,1.14374,0.79037,0.74613,0.81429,0.6191,0.89043,1.26195,1.24451,0.00092,0.00092,0.00092
82,23558.7,0.67178,0.61466,1.13999,0.76319,0.8154,0.84672,0.65769,0.86577,0.90507,1.18227,0.000915875,0.000915875,0.000915875
83,23841.2,0.68059,0.634,1.14428,0.75359,0.80311,0.84399,0.64629,0.85696,1.08878,1.21882,0.00091175,0.00091175,0.00091175
84,24125.5,0.67024,0.63546,1.13861,0.82195,0.78956,0.83416,0.64608,0.84508,0.99404,1.20356,0.000907625,0.000907625,0.000907625
85,24407.7,0.65589,0.60262,1.12974,0.71367,0.81134,0.82197,0.63424,0.84967,1.03891,1.18391,0.0009035,0.0009035,0.0009035
86,24688.7,0.66759,0.60515,1.14498,0.78333,0.82744,0.85635,0.67095,0.83881,0.98472,1.20295,0.000899375,0.000899375,0.000899375
87,24980,0.65813,0.60833,1.12027,0.69449,0.79718,0.76945,0.58092,0.9216,1.1699,1.26027,0.00089525,0.00089525,0.00089525
88,25266,0.65038,0.62112,1.1243,0.7668,0.76484,0.82021,0.62669,0.86758,1.18451,1.20598,0.000891125,0.000891125,0.000891125
89,25550.3,0.6545,0.62512,1.12343,0.75508,0.76665,0.79533,0.60455,0.88237,0.9979,1.21763,0.000887,0.000887,0.000887
90,25833.1,0.64335,0.59562,1.1185,0.79264,0.7696,0.84218,0.63785,0.89267,0.96183,1.24691,0.000882875,0.000882875,0.000882875
91,26116,0.65357,0.60048,1.13372,0.70606,0.78557,0.79247,0.60697,0.85897,1.07619,1.1714,0.00087875,0.00087875,0.00087875
92,26398.2,0.63866,0.60304,1.11318,0.79111,0.79316,0.84041,0.6473,0.867,1.09783,1.22038,0.000874625,0.000874625,0.000874625
93,26680.9,0.6486,0.61039,1.126,0.79094,0.82495,0.86144,0.66466,0.8699,0.84397,1.22614,0.0008705,0.0008705,0.0008705
