epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
74,27967.5,0.82071,0.51391,0.02332,0.96452,0.97591,0.99159,0.73638,0.92567,0.38649,0.02505,0.0015182,0.0015182,0.0015182
75,28333.9,0.84275,0.50956,0.0238,0.93937,0.97436,0.98956,0.7729,0.87476,0.37132,0.02328,0.0015116,0.0015116,0.0015116
76,28699.3,0.80717,0.51423,0.02276,0.96026,0.99142,0.99333,0.77387,0.88667,0.37364,0.0235,0.001505,0.001505,0.001505
77,29065.5,0.79086,0.50303,0.02226,0.96249,0.99487,0.99242,0.76997,0.82655,0.33174,0.02208,0.0014984,0.0014984,0.0014984
78,29430.1,0.81226,0.50713,0.02311,0.97284,0.98462,0.99381,0.78057,0.80429,0.31371,0.02173,0.0014918,0.0014918,0.0014918
79,29793.5,0.79503,0.50032,0.0226,0.97949,0.97963,0.99287,0.77385,0.8447,0.32251,0.02274,0.0014852,0.0014852,0.0014852
80,30157.1,0.80241,0.53751,0.02248,0.95701,0.97043,0.99138,0.76424,0.86072,0.38083,0.02332,0.0014786,0.0014786,0.0014786
81,30520.6,0.78857,0.5052,0.02208,0.98599,0.98205,0.99396,0.78023,0.84337,0.35679,0.02292,0.001472,0.001472,0.001472
82,30884.3,0.77232,0.50654,0.02134,0.97411,0.96456,0.99264,0.79039,0.8252,0.35372,0.02173,0.0014654,0.0014654,0.0014654
83,31249.8,0.77347,0.49859,0.02151,0.97175,0.97036,0.99254,0.76236,0.87204,0.34648,0.02371,0.0014588,0.0014588,0.0014588
84,31627.5,0.79547,0.50753,0.02228,0.98946,0.9641,0.99363,0.78644,0.80318,0.33969,0.0213,0.0014522,0.0014522,0.0014522
85,32006.9,0.76446,0.5064,0.02153,0.97181,0.99744,0.994,0.76754,0.82608,0.34621,0.02215,0.0014456,0.0014456,0.0014456
86,32383.5,0.77842,0.48987,0.02196,0.97359,0.94542,0.98967,0.7853,0.80665,0.33758,0.02139,0.001439,0.001439,0.001439
87,32761.1,0.76931,0.49875,0.02164,0.9879,0.97436,0.99342,0.77374,0.82108,0.35714,0.02166,0.0014324,0.0014324,0.0014324
88,33139.2,0.7593,0.48947,0.02171,0.98461,0.98433,0.99448,0.7818,0.78588,0.32542,0.02106,0.0014258,0.0014258,0.0014258
89,33514.9,0.77011,0.48832,0.02154,0.97686,0.97405,0.99334,0.77866,0.80067,0.32876,0.02108,0.0014192,0.0014192,0.0014192
90,33892.3,0.75224,0.46303,0.02107,0.98836,0.97436,0.99422,0.7833,0.82046,0.32144,0.02152,0.0014126,0.0014126,0.0014126
